dataset_id,dataset_name,category,task_type,modality,sequence_type,label_type,scale_summary,preprocessing_need,candidate_quantum_encoding,estimated_qubits_min,estimated_qubits_max,access_status,related_papers_count,baseline_available,feature_compactness,sequence_suitability,modality_compatibility,label_availability,preprocessing_burden,access_reproducibility,nisq_feasibility,notes
wmg_dib_eis,WMG-DIB EIS Dataset,Electrochemical Characterisation,SOH estimation,EIS,spectral/tabular,continuous SOH,impedance spectra under different cell conditions,feature extraction and normalization,angle encoding; amplitude encoding; quantum kernel; variational quantum head,4,8,public,1,yes,high,high,high,high,medium,high,high,"Compact EIS-style diagnostic dataset; high QRS reflects feasibility for low-dimensional quantum feature maps, not empirical quantum advantage."
stanford_mit_early_cycle,Stanford-MIT Early Cycle Life Dataset,Lab Aging and Degradation,RUL/cycle-life prediction,cycle summary and voltage curves,curve/time-series,cycle life / RUL,early-cycle summaries and voltage curves,feature extraction,angle encoding; quantum kernel; PQC head,4,12,public,1,yes,high,high,high,high,medium,medium,high,Strong benchmark for early cycle-life prediction; representation choice determines final qubit requirement.
nasa_liion_aging,NASA Li-ion Battery Aging Dataset,Aerospace and Specialised Applications,SOH/RUL prediction,voltage-current-temperature,time-series,capacity / RUL,controlled aging trajectories from Li-ion cells,windowing and feature extraction,quantum reservoir; data re-uploading; PQC head,6,12,public,1,yes,medium,medium,medium,high,medium,high,medium,Classic battery prognostics dataset; suitable after short-window construction or curve-level summarisation.
nrel_failure_databank,NREL Battery Failure Databank,Safety Failure and Thermal Runaway,failure/anomaly detection,abuse testing and thermal data,event/multimodal,failure event / anomaly,abuse/failure experiments and thermal diagnostics,feature extraction,quantum kernel; hybrid classifier,4,12,public,1,yes,medium,medium,medium,high,medium,high,medium,Promising for limited-label anomaly/failure experiments after feature extraction.
battery_imaging_library,Battery Imaging Library,Battery Imaging,structural diagnostics,CT/X-ray/imaging,image/video,segmentation / structural labels,imaging resources for battery structure and diagnostics,classical embedding required,classical embedding plus quantum head; quantum kernel on embeddings,8,16,public,1,yes,low,low,low,medium,low,high,low,Scientifically rich but raw image/voxel data is not directly NISQ-ready without classical representation learning.
pulsebat_retired_cell,PulseBat Retired-Cell Dataset,Second-Life Recycling and Grid Storage,SOH/second-life assessment,pulse-voltage response,tabular/curve,SOH / second-life class,retired-cell pulse response and diagnostic labels,cleaning and normalization,angle encoding; quantum kernel; PQC head,4,8,public,1,yes,high,high,high,high,medium,high,high,Compact pulse-response representation makes this a strong candidate for NISQ-era hybrid benchmarking.
osf_battery_magnetometry,OSF Battery Magnetometry Archive,Aerospace and Specialised Applications,voltage-state morphology analysis,magnetometry,spatial/curve,voltage-state class,magnetic scan signatures at operating-voltage anchors,feature extraction and resampling,quantum kernel; quantum reservoir; angle encoding,4,10,public,1,yes,medium,medium,medium,medium,medium,high,medium,Magnetometry is compact after feature extraction; label structure is useful but narrower than standard SOH/RUL tasks.
tsinghua_ev_charging,Tsinghua EV Charging Dataset,Field and Real-World EV Data,charging behaviour analytics,EV charging/BMS telemetry,long time-series,charging snippets / derived labels,large-scale EV charging snippets from multiple vehicle types,windowing and aggregation,windowed reservoir; data re-uploading; quantum kernel on summaries,6,12,public,1,yes,medium,medium,medium,medium,medium,high,medium,Large and useful field dataset; quantum use requires windowing or aggregation before encoding.
bms_cloud_failure,BMS Cloud Failure Dataset,Field and Real-World EV Data,online fault diagnosis,BMS cloud time-series,long time-series,failure / anomaly labels,cloud-uploaded BMS records with rare critical failures,windowing and feature extraction,windowed reservoir; quantum kernel; hybrid classifier,6,12,public,1,yes,medium,medium,medium,high,medium,medium,medium,"Failure labels are promising, but scale and stochastic operating conditions require careful representation design."
bev_energy_dynamics,BEV Energy Dynamics Dataset,Field and Real-World EV Data,energy dynamics modelling,charger-battery-auxiliary signals,long time-series,operational state / energy variables,high-resolution charger battery and auxiliary signals,windowing and aggregation,windowed reservoir; quantum kernel on summaries,6,12,public,1,yes,medium,medium,medium,medium,medium,medium,medium,Useful for energy-management analytics; medium QRS due to long time-series preprocessing burden.
wltp_constant_discharge,WLTP/Constant-Discharge Pack Dataset,State Estimation and Health Monitoring,SOH/pack diagnostics,pack V/I/T signals,time-series,SOH / diagnostic labels,pack-level voltage current temperature profiles,windowing and feature extraction,quantum reservoir; data re-uploading; PQC head,6,12,public,1,yes,medium,medium,medium,high,medium,high,medium,Pack-level diagnostics are feasible after short-window construction or summary-feature extraction.
voltage_relaxation_capacity,Voltage Relaxation Capacity Estimation Dataset,Electrochemical Characterisation,capacity estimation,voltage relaxation,curve,capacity / SOH,relaxation curves for capacity estimation,cleaning and normalization,angle encoding; quantum kernel; quantum reservoir; PQC head,4,8,public,1,yes,high,high,high,high,medium,high,high,Curve structure makes this highly compatible with compact quantum encodings.
impedance_forecasting,Impedance-Based Forecasting Dataset,Electrochemical Characterisation,performance/SOH forecasting,impedance/EIS,spectral/curve,SOH / performance labels,impedance-derived diagnostic features,cleaning and normalization,angle encoding; amplitude encoding; quantum kernel; PQC head,4,8,public,1,yes,high,high,high,high,medium,high,high,Compact impedance representation is highly suitable for quantum feature-map experiments.
home_storage_field,Home-Storage Field Measurements,Field and Real-World EV Data,field operation analytics,home-storage BMS telemetry,long time-series,capacity / operational labels,private home-storage systems with multi-year 1-second measurements,aggregation and feature extraction,windowed reservoir; quantum kernel on summaries,8,12,public,2,yes,medium,medium,medium,medium,medium,medium,medium,Very valuable field corpus but raw scale makes direct NISQ encoding unrealistic.
phev_thermal_fault,PHEV Thermal Fault Dataset,Safety Failure and Thermal Runaway,thermal fault detection,thermal/BMS time-series,time-series,fault / thermal anomaly labels,PHEV thermal and BMS signals for fault analysis,windowing and feature extraction,quantum kernel; hybrid classifier; windowed reservoir,6,12,public,1,yes,medium,medium,medium,high,medium,high,medium,Good fit for limited-label thermal fault experiments after feature extraction.
