rank,dataset_id,dataset_name,category,task_type,modality,sequence_type,label_type,estimated_qubits_min,estimated_qubits_max,qrs,qrs_gated,qrs_continuous,nisq_feasibility,feature_compactness,sequence_suitability,modality_compatibility,label_availability,preprocessing_burden,access_reproducibility,feature_compactness_score,sequence_suitability_score,modality_compatibility_score,label_availability_score,preprocessing_burden_score,access_reproducibility_score,preprocessing_need,candidate_quantum_encoding,access_status,related_papers_count,baseline_available,scale_summary,notes
1,impedance_forecasting,Impedance-Based Forecasting Dataset,Electrochemical Characterisation,performance/SOH forecasting,impedance/EIS,spectral/curve,SOH / performance labels,4,8,0.925,0.9,0.763,high,high,high,high,high,medium,high,1.0,1.0,1.0,1.0,0.5,1.0,cleaning and normalization,angle encoding; amplitude encoding; quantum kernel; PQC head,public,1,yes,impedance-derived diagnostic features,Compact impedance representation is highly suitable for quantum feature-map experiments.
2,pulsebat_retired_cell,PulseBat Retired-Cell Dataset,Second-Life Recycling and Grid Storage,SOH/second-life assessment,pulse-voltage response,tabular/curve,SOH / second-life class,4,8,0.925,0.9,0.753,high,high,high,high,high,medium,high,1.0,1.0,1.0,1.0,0.5,1.0,cleaning and normalization,angle encoding; quantum kernel; PQC head,public,1,yes,retired-cell pulse response and diagnostic labels,Compact pulse-response representation makes this a strong candidate for NISQ-era hybrid benchmarking.
3,voltage_relaxation_capacity,Voltage Relaxation Capacity Estimation Dataset,Electrochemical Characterisation,capacity estimation,voltage relaxation,curve,capacity / SOH,4,8,0.925,0.9,0.763,high,high,high,high,high,medium,high,1.0,1.0,1.0,1.0,0.5,1.0,cleaning and normalization,angle encoding; quantum kernel; quantum reservoir; PQC head,public,1,yes,relaxation curves for capacity estimation,Curve structure makes this highly compatible with compact quantum encodings.
4,wmg_dib_eis,WMG-DIB EIS Dataset,Electrochemical Characterisation,SOH estimation,EIS,spectral/tabular,continuous SOH,4,8,0.925,0.9,0.763,high,high,high,high,high,medium,high,1.0,1.0,1.0,1.0,0.5,1.0,feature extraction and normalization,angle encoding; amplitude encoding; quantum kernel; variational quantum head,public,1,yes,impedance spectra under different cell conditions,"Compact EIS-style diagnostic dataset; high QRS reflects feasibility for low-dimensional quantum feature maps, not empirical quantum advantage."
5,stanford_mit_early_cycle,Stanford-MIT Early Cycle Life Dataset,Lab Aging and Degradation,RUL/cycle-life prediction,cycle summary and voltage curves,curve/time-series,cycle life / RUL,4,12,0.9,0.85,0.632,high,high,high,high,high,medium,medium,1.0,1.0,1.0,1.0,0.5,0.5,feature extraction,angle encoding; quantum kernel; PQC head,public,1,yes,early-cycle summaries and voltage curves,Strong benchmark for early cycle-life prediction; representation choice determines final qubit requirement.
6,nasa_liion_aging,NASA Li-ion Battery Aging Dataset,Aerospace and Specialised Applications,SOH/RUL prediction,voltage-current-temperature,time-series,capacity / RUL,6,12,0.6,0.45,0.547,medium,medium,medium,medium,high,medium,high,0.5,0.5,0.5,1.0,0.5,1.0,windowing and feature extraction,quantum reservoir; data re-uploading; PQC head,public,1,yes,controlled aging trajectories from Li-ion cells,Classic battery prognostics dataset; suitable after short-window construction or curve-level summarisation.
7,nrel_failure_databank,NREL Battery Failure Databank,Safety Failure and Thermal Runaway,failure/anomaly detection,abuse testing and thermal data,event/multimodal,failure event / anomaly,4,12,0.6,0.45,0.54,medium,medium,medium,medium,high,medium,high,0.5,0.5,0.5,1.0,0.5,1.0,feature extraction,quantum kernel; hybrid classifier,public,1,yes,abuse/failure experiments and thermal diagnostics,Promising for limited-label anomaly/failure experiments after feature extraction.
8,phev_thermal_fault,PHEV Thermal Fault Dataset,Safety Failure and Thermal Runaway,thermal fault detection,thermal/BMS time-series,time-series,fault / thermal anomaly labels,6,12,0.6,0.45,0.536,medium,medium,medium,medium,high,medium,high,0.5,0.5,0.5,1.0,0.5,1.0,windowing and feature extraction,quantum kernel; hybrid classifier; windowed reservoir,public,1,yes,PHEV thermal and BMS signals for fault analysis,Good fit for limited-label thermal fault experiments after feature extraction.
9,wltp_constant_discharge,WLTP/Constant-Discharge Pack Dataset,State Estimation and Health Monitoring,SOH/pack diagnostics,pack V/I/T signals,time-series,SOH / diagnostic labels,6,12,0.6,0.45,0.532,medium,medium,medium,medium,high,medium,high,0.5,0.5,0.5,1.0,0.5,1.0,windowing and feature extraction,quantum reservoir; data re-uploading; PQC head,public,1,yes,pack-level voltage current temperature profiles,Pack-level diagnostics are feasible after short-window construction or summary-feature extraction.
10,bms_cloud_failure,BMS Cloud Failure Dataset,Field and Real-World EV Data,online fault diagnosis,BMS cloud time-series,long time-series,failure / anomaly labels,6,12,0.575,0.425,0.52,medium,medium,medium,medium,high,medium,medium,0.5,0.5,0.5,1.0,0.5,0.5,windowing and feature extraction,windowed reservoir; quantum kernel; hybrid classifier,public,1,yes,cloud-uploaded BMS records with rare critical failures,"Failure labels are promising, but scale and stochastic operating conditions require careful representation design."
11,osf_battery_magnetometry,OSF Battery Magnetometry Archive,Aerospace and Specialised Applications,voltage-state morphology analysis,magnetometry,spatial/curve,voltage-state class,4,10,0.525,0.4,0.555,medium,medium,medium,medium,medium,medium,high,0.5,0.5,0.5,0.5,0.5,1.0,feature extraction and resampling,quantum kernel; quantum reservoir; angle encoding,public,1,yes,magnetic scan signatures at operating-voltage anchors,Magnetometry is compact after feature extraction; label structure is useful but narrower than standard SOH/RUL tasks.
12,tsinghua_ev_charging,Tsinghua EV Charging Dataset,Field and Real-World EV Data,charging behaviour analytics,EV charging/BMS telemetry,long time-series,charging snippets / derived labels,6,12,0.525,0.4,0.51,medium,medium,medium,medium,medium,medium,high,0.5,0.5,0.5,0.5,0.5,1.0,windowing and aggregation,windowed reservoir; data re-uploading; quantum kernel on summaries,public,1,yes,large-scale EV charging snippets from multiple vehicle types,Large and useful field dataset; quantum use requires windowing or aggregation before encoding.
13,bev_energy_dynamics,BEV Energy Dynamics Dataset,Field and Real-World EV Data,energy dynamics modelling,charger-battery-auxiliary signals,long time-series,operational state / energy variables,6,12,0.5,0.375,0.458,medium,medium,medium,medium,medium,medium,medium,0.5,0.5,0.5,0.5,0.5,0.5,windowing and aggregation,windowed reservoir; quantum kernel on summaries,public,1,yes,high-resolution charger battery and auxiliary signals,Useful for energy-management analytics; medium QRS due to long time-series preprocessing burden.
14,home_storage_field,Home-Storage Field Measurements,Field and Real-World EV Data,field operation analytics,home-storage BMS telemetry,long time-series,capacity / operational labels,8,12,0.5,0.375,0.462,medium,medium,medium,medium,medium,medium,medium,0.5,0.5,0.5,0.5,0.5,0.5,aggregation and feature extraction,windowed reservoir; quantum kernel on summaries,public,2,yes,private home-storage systems with multi-year 1-second measurements,Very valuable field corpus but raw scale makes direct NISQ encoding unrealistic.
15,battery_imaging_library,Battery Imaging Library,Battery Imaging,structural diagnostics,CT/X-ray/imaging,image/video,segmentation / structural labels,8,16,0.125,0.0,0.181,low,low,low,low,medium,low,high,0.0,0.0,0.0,0.5,0.0,1.0,classical embedding required,classical embedding plus quantum head; quantum kernel on embeddings,public,1,yes,imaging resources for battery structure and diagnostics,Scientifically rich but raw image/voxel data is not directly NISQ-ready without classical representation learning.
